FeatureCode,DateCode,Measurement,Units,Value,Distance to Nearest Green or Blue Space,Age,Gender,Urban Rural Classification,SIMD quintiles,Type Of Tenure,Household Type,Ethnicity
S12000021,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.9,Don't Know,All,All,Urban,All,All,All,All
S12000041,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,20.3,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000019,2015,Percent,Percent Of Adults,79,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000019,2013,Percent,Percent Of Adults,78,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000049,2013,Percent,Percent Of Adults,0,Don't Know,16-34 years,All,All,All,All,All,All
S12000041,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,Adults,All
S12000045,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,87.0,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000050,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,66.5,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000050,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.2,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000041,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,70.5,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000021,2013,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,Pensioners,All
S12000021,2013,Percent,Percent Of Adults,1,Don't Know,All,Female,All,All,All,All,All
S12000045,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,35-64 years,All,All,All,All,All,All
S12000049,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,46.2,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000021,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,39.8,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000049,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,60.4,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000019,2015,Percent,Percent Of Adults,79,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000005,2013,Percent,Percent Of Adults,1,Don't Know,All,Female,All,All,All,All,All
S12000047,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,74.2,A 5 minute walk or less,All,All,All,All,All,All,All
S12000039,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.6,An 11 minute walk or more,All,All,All,All,All,Pensioners,All
S12000021,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,44.2,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000021,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.0,Don't Know,All,All,All,All,All,All,All
S12000036,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,61.6,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000045,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,70.2,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000045,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Female,All,All,All,All,All
S12000021,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,39.7,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000035,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,20.5,Don't Know,All,Male,All,All,All,All,All
S12000050,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,66.2,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000047,2013,Percent,Percent Of Adults,3,Don't Know,65 years and over,All,All,All,All,All,All
S12000027,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,69.8,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000030,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.7,Don't Know,All,All,All,All,All,Adults,All
S12000035,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,19.5,Don't Know,All,All,All,All,All,Adults,All
S12000030,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.7,Don't Know,All,Male,All,All,All,All,All
S12000005,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.3,Don't Know,All,All,Urban,All,All,All,All
S12000030,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.6,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000019,2015,Percent,Percent Of Adults,86,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000050,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,18.3,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000005,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.6,Don't Know,All,All,Urban,All,All,All,All
S12000050,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.1,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000049,2015,Percent,Percent Of Adults,55,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000035,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,39.7,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000030,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,73.3,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000017,2014,Percent,Percent Of Adults,74,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000041,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,34.3,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000019,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,67.3,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000019,2016,Percent,Percent Of Adults,74,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000023,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,7.5,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000021,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,Urban,All,All,All,All
S12000030,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,83.2,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000049,2017,Percent,Percent Of Adults,24,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000049,2014,Percent,Percent Of Adults,17,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000049,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,19.6,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000045,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,55.2,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000049,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.5,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000021,2017,Percent,Percent Of Adults,22,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000018,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.3,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000035,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.9,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000019,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,59.8,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000041,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.9,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000018,2016,Percent,Percent Of Adults,16,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000019,2017,Percent,Percent Of Adults,77,A 5 minute walk or less,All,All,Urban,All,All,All,All
S92000003,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.2,Don't Know,All,All,Urban,All,All,All,All
S12000049,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,44.7,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000023,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.4,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000045,2014,Percent,Percent Of Adults,66,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000019,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,68.1,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000020,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,23.8,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000040,2014,Percent,Percent Of Adults,12,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000039,2015,Percent,Percent Of Adults,18,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000049,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.7,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000049,2013,Percent,Percent Of Adults,22,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000034,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.7,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000006,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.7,Don't Know,All,All,Urban,All,All,All,All
S12000042,2016,Percent,Percent Of Adults,51,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000026,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,Urban,All,All,All,All
S92000003,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.0,Don't Know,All,All,Urban,All,All,All,All
S12000019,2014,Percent,Percent Of Adults,73,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000048,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,6.8,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000018,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,74.6,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000033,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,52.7,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000026,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,Urban,All,All,All,All
S12000034,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.9,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000021,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,Urban,All,All,All,All
S12000006,2017,Percent,Percent Of Adults,1,Don't Know,All,All,Urban,All,All,All,All
S12000050,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,18.0,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000047,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,4.2,An 11 minute walk or more,All,All,Urban,All,All,All,All
S92000003,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.0,Don't Know,All,All,Urban,All,All,All,All
S12000049,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,50.9,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000033,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,67.7,A 5 minute walk or less,All,All,Urban,All,All,All,All
S92000003,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,13.2,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000041,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.5,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000047,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.7,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000018,2017,Percent,Percent Of Adults,20,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000035,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,20.3,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000020,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,6.6,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000036,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.1,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000014,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.7,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000020,2014,Percent,Percent Of Adults,17,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000030,2015,Percent,Percent Of Adults,78,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000014,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,4.0,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000035,2013,Percent,Percent Of Adults,70,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S92000003,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.8,Don't Know,All,All,All,All,All,Pensioners,All
S12000017,2016,Percent,Percent Of Adults,0,Don't Know,All,All,All,All,All,Pensioners,All
S12000017,2018,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,All,All
S12000014,2018,Percent,Percent Of Adults,2,Don't Know,All,All,All,All,All,All,All
S12000048,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,3.2,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000021,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,Urban,All,All,All,All
S12000014,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.3,Don't Know,All,All,All,All,All,All,All
S12000014,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,49.3,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000020,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.3,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000026,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.4,Don't Know,All,All,Urban,All,All,All,All
S12000042,2018,Percent,Percent Of Adults,49,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000050,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,4.7,Don't Know,16-34 years,All,All,All,All,All,All
S12000017,2013,Percent,Percent Of Adults,14,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000030,2018,Percent,Percent Of Adults,1,Don't Know,35-64 years,All,All,All,All,All,All
S12000013,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,60.4,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000014,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,11.2,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000013,2017,Percent,Percent Of Adults,32,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000011,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,24.3,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000039,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,48.9,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000035,2014,Percent,Percent Of Adults,69,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000030,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.0,Don't Know,All,All,Urban,All,All,All,All
S12000006,2015,Percent,Percent Of Adults,7,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000014,2016,Percent,Percent Of Adults,8,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000040,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.7,Don't Know,All,All,Urban,All,All,All,All
S12000005,2017,Percent,Percent Of Adults,1,Don't Know,All,Male,All,All,All,All,All
S12000036,2014,Percent,Percent Of Adults,23,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000005,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,Urban,All,All,All,All
S12000005,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,7,Don't Know,65 years and over,All,All,All,All,All,All
S12000014,2017,Percent,Percent Of Adults,56,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000019,2017,Percent,Percent Of Adults,18,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000020,2013,Percent,Percent Of Adults,23,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000045,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,61.7,A 5 minute walk or less,All,All,Urban,All,All,All,All
S92000003,2013,Percent,Percent Of Adults,1,Don't Know,All,All,Urban,All,All,All,All
S12000041,2016,Percent,Percent Of Adults,61,A 5 minute walk or less,All,All,All,All,All,All,All
S12000018,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,4.0,Don't Know,All,Male,All,All,All,All,All
S12000008,2017,Percent,Percent Of Adults,3,Don't Know,All,All,All,All,All,Pensioners,All
S12000023,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,33.5,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000048,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,13.6,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000014,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,79.2,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000050,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.4,Don't Know,All,All,Urban,All,All,All,All
S12000029,2017,Percent,Percent Of Adults,65,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000011,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,34.3,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000049,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.4,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000011,2018,Percent,Percent Of Adults,1,Don't Know,65 years and over,All,All,All,All,All,All
S12000011,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,65 years and over,All,All,All,All,All,All
S12000042,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.6,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000018,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,6.5,Don't Know,65 years and over,All,All,All,All,All,All
S12000023,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,12.3,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000011,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.6,Don't Know,65 years and over,All,All,All,All,All,All
S92000003,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.5,Don't Know,16-34 years,All,All,All,All,All,All
S12000034,2015,Percent,Percent Of Adults,71,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000005,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,2,Don't Know,All,All,All,All,All,All,All
S12000017,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.2,Don't Know,All,All,All,All,All,All,All
S12000049,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,62.9,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000014,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.8,Don't Know,All,All,All,All,All,All,All
S12000005,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,Urban,All,All,All,All
S12000050,2016,Percent,Percent Of Adults,67,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000008,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,5.5,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000047,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.4,Don't Know,All,All,Urban,All,All,All,All
S12000030,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,Urban,All,All,All,All
S12000029,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,65 years and over,All,All,All,All,All,All
S12000033,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,Urban,All,All,All,All
S12000017,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,10.9,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000006,2017,Percent,Percent Of Adults,15,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000040,2015,Percent,Percent Of Adults,1,Don't Know,All,All,Urban,All,All,All,All
S12000017,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,3.8,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000049,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,46.6,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000013,2017,Percent,Percent Of Adults,64,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000040,2016,Percent,Percent Of Adults,1,Don't Know,All,All,Urban,All,All,All,All
S12000006,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,2.3,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000014,2013,Percent,Percent Of Adults,19,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000035,2017,Percent,Percent Of Adults,29,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000008,2013,Percent,Percent Of Adults,13,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000011,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,37.6,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000008,2018,Percent,Percent Of Adults,2,Don't Know,65 years and over,All,All,All,All,All,All
S12000036,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.3,Don't Know,All,All,Urban,All,All,All,All
S12000035,2014,Percent,Percent Of Adults,66,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000014,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,33.7,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000041,2014,Percent,Percent Of Adults,66,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000018,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.3,Don't Know,All,Male,All,All,All,All,All
S12000006,2013,Percent,Percent Of Adults,4,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000050,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,67.3,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000010,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.9,Don't Know,All,Male,All,All,All,All,All
S12000029,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.7,Don't Know,16-34 years,All,All,All,All,All,All
S12000005,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,83.2,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000038,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,71.5,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000017,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,19.9,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000029,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,16-34 years,All,All,All,All,All,All
S12000050,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,52.6,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000017,2016,Percent,Percent Of Adults,5,Don't Know,All,All,All,All,All,Adults,All
S12000006,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,11.3,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000030,2018,Percent,Percent Of Adults,2,Don't Know,65 years and over,All,All,All,All,All,All
S12000005,2013,Percent,Percent Of Adults,69,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000035,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.8,Don't Know,All,All,Urban,All,All,All,All
S12000036,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,Urban,All,All,All,All
S12000045,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,3.0,Don't Know,All,All,Urban,All,All,All,All
S12000047,2013,Percent,Percent Of Adults,1,Don't Know,All,All,Urban,All,All,All,All
S12000017,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,All,All
S12000039,2013,Percent,Percent Of Adults,51,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000030,2014,Percent,Percent Of Adults,1,Don't Know,All,All,Urban,All,All,All,All
S92000003,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.9,Don't Know,65 years and over,All,All,All,All,All,All
S12000030,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,5.9,Don't Know,65 years and over,All,All,All,All,All,All
S12000017,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Female,All,All,All,All,All
S12000047,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.3,Don't Know,All,All,Urban,All,All,All,All
S12000010,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,All,All
S12000050,2018,Percent,Percent Of Adults,62,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000006,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.7,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000050,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,56.5,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000017,2014,Percent,Percent Of Adults,16,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000006,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000036,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.3,Don't Know,All,All,Urban,All,All,All,All
S12000005,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,16-34 years,All,All,All,All,All,All
S12000050,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,16-34 years,All,All,All,All,All,All
S12000017,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Male,All,All,All,All,All
S12000035,2014,Percent,Percent Of Adults,70,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000039,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,44.7,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000050,2016,Percent,Percent Of Adults,65,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000006,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,6.9,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000014,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.0,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000010,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,6.2,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000008,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.2,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000036,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,69.6,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000038,2015,Percent,Percent Of Adults,28,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000005,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,11.1,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000010,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,92.1,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000030,2015,Percent,Percent Of Adults,0,Don't Know,All,All,Urban,All,All,All,All
S12000010,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,2.1,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000005,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.2,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000011,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.0,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000011,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,10.3,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000039,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,44.3,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000045,2016,Percent,Percent Of Adults,2,Don't Know,All,All,Urban,All,All,All,All
